"filename", "language", "CUDA C++", "C++", "Makefile", "Markdown", "Shell Script", "comment", "blank", "total"
"/home/main/Documents/hila/README.md", "Markdown", 0, 0, 0, 317, 0, 0, 156, 473
"/home/main/Documents/hila/applications/SUN/KennedyPendleton.cpp", "C++", 0, 40, 0, 0, 0, 23, 12, 75
"/home/main/Documents/hila/applications/SUN/Makefile", "Makefile", 0, 0, 6, 0, 0, 6, 8, 20
"/home/main/Documents/hila/applications/SUN/SUN.cpp", "C++", 0, 64, 0, 0, 0, 16, 14, 94
"/home/main/Documents/hila/applications/SUN/SUN.h", "CUDA C++", 23, 0, 0, 0, 0, 2, 8, 33
"/home/main/Documents/hila/applications/SUN/monte.cpp", "C++", 0, 122, 0, 0, 0, 80, 46, 248
"/home/main/Documents/hila/applications/SUN/submit_puhti.sh", "Shell Script", 0, 0, 0, 0, 3, 7, 4, 14
"/home/main/Documents/hila/applications/Staggered/Makefile", "Makefile", 0, 0, 6, 0, 0, 6, 9, 21
"/home/main/Documents/hila/applications/Staggered/staggered.cpp", "C++", 0, 58, 0, 0, 0, 13, 22, 93
"/home/main/Documents/hila/applications/Staggered/staggered.h", "CUDA C++", 26, 0, 0, 0, 0, 2, 9, 37
"/home/main/Documents/hila/applications/Wilson/Makefile", "Makefile", 0, 0, 6, 0, 0, 6, 10, 22
"/home/main/Documents/hila/applications/Wilson/Wilson.cpp", "C++", 0, 46, 0, 0, 0, 11, 16, 73
"/home/main/Documents/hila/applications/Wilson/Wilson.h", "CUDA C++", 27, 0, 0, 0, 0, 2, 9, 38
"/home/main/Documents/hila/applications/benchmarks/Makefile", "Makefile", 0, 0, 19, 0, 0, 6, 15, 40
"/home/main/Documents/hila/applications/benchmarks/bench.h", "CUDA C++", 17, 0, 0, 0, 0, 8, 5, 30
"/home/main/Documents/hila/applications/benchmarks/bench_FFT.cpp", "C++", 0, 49, 0, 0, 0, 7, 16, 72
"/home/main/Documents/hila/applications/benchmarks/bench_fermion.cpp", "C++", 0, 104, 0, 0, 0, 12, 25, 141
"/home/main/Documents/hila/applications/benchmarks/bench_field.cpp", "C++", 0, 219, 0, 0, 0, 23, 29, 271
"/home/main/Documents/hila/applications/benchmarks/bench_matrix2.cpp", "C++", 0, 177, 0, 0, 0, 20, 33, 230
"/home/main/Documents/hila/applications/benchmarks/benchmark.sh", "Shell Script", 0, 0, 0, 0, 38, 2, 7, 47
"/home/main/Documents/hila/applications/benchmarks/submit_gpu_puhti.sh", "Shell Script", 0, 0, 0, 0, 4, 13, 5, 22
"/home/main/Documents/hila/applications/hila_example/Makefile", "Makefile", 0, 0, 17, 0, 0, 10, 17, 44
"/home/main/Documents/hila/applications/hila_example/src/hila_example.cpp", "C++", 0, 56, 0, 0, 0, 21, 32, 109
"/home/main/Documents/hila/applications/hila_example/src/minmax.cpp", "C++", 0, 34, 0, 0, 0, 6, 16, 56
"/home/main/Documents/hila/applications/hila_example/src/simple.cpp", "C++", 0, 23, 0, 0, 0, 8, 10, 41
"/home/main/Documents/hila/applications/ising/Makefile", "Makefile", 0, 0, 6, 0, 0, 6, 10, 22
"/home/main/Documents/hila/applications/ising/ising.cpp", "C++", 0, 41, 0, 0, 0, 10, 13, 64
"/home/main/Documents/hila/applications/suN_hmc/Makefile", "Makefile", 0, 0, 11, 0, 0, 11, 18, 40
"/home/main/Documents/hila/applications/suN_hmc/src/suN_hmc.cpp", "C++", 0, 173, 0, 0, 0, 45, 72, 290
"/home/main/Documents/hila/applications/sun_realtime/Makefile", "Makefile", 0, 0, 11, 0, 0, 10, 17, 38
"/home/main/Documents/hila/applications/sun_realtime/src/sun_realtime.cpp", "C++", 0, 215, 0, 0, 0, 67, 84, 366
"/home/main/Documents/hila/applications/test_FFT/Makefile", "Makefile", 0, 0, 7, 0, 0, 8, 14, 29
"/home/main/Documents/hila/applications/test_FFT/test_FFT.cpp", "C++", 0, 29, 0, 0, 0, 10, 17, 56
"/home/main/Documents/hila/applications/test_cases/Makefile", "Makefile", 0, 0, 19, 0, 0, 6, 15, 40
"/home/main/Documents/hila/applications/test_cases/test.h", "CUDA C++", 30, 0, 0, 0, 0, 4, 8, 42
"/home/main/Documents/hila/applications/test_cases/test.sh", "Shell Script", 0, 0, 0, 0, 65, 10, 14, 89
"/home/main/Documents/hila/applications/test_cases/test_CG.cpp", "C++", 0, 282, 0, 0, 0, 17, 58, 357
"/home/main/Documents/hila/applications/test_cases/test_FFT.cpp", "C++", 0, 43, 0, 0, 0, 13, 28, 84
"/home/main/Documents/hila/applications/test_cases/test_conjReduce.cpp", "C++", 0, 64, 0, 0, 0, 18, 19, 101
"/home/main/Documents/hila/applications/test_cases/test_fields.cpp", "C++", 0, 252, 0, 0, 0, 40, 65, 357
"/home/main/Documents/hila/applications/test_cases/test_forces.cpp", "C++", 0, 250, 0, 0, 0, 34, 59, 343
"/home/main/Documents/hila/applications/u1strings/Makefile", "Makefile", 0, 0, 10, 0, 0, 8, 10, 28
"/home/main/Documents/hila/applications/u1strings/onsim.cpp", "C++", 0, 474, 0, 0, 0, 37, 138, 649
"/home/main/Documents/hila/applications/xy/Makefile", "Makefile", 0, 0, 6, 0, 0, 6, 10, 22
"/home/main/Documents/hila/applications/xy/xy.cpp", "C++", 0, 49, 0, 0, 0, 9, 13, 71
"/home/main/Documents/hila/docs/mainpage.md", "Markdown", 0, 0, 0, 264, 0, 0, 102, 366
"/home/main/Documents/hila/hilapp/Makefile", "Makefile", 0, 0, 119, 0, 0, 72, 56, 247
"/home/main/Documents/hila/hilapp/src/addrof_and_ref_visitor.cpp", "C++", 0, 159, 0, 0, 0, 55, 33, 247
"/home/main/Documents/hila/hilapp/src/codegen.cpp", "C++", 0, 336, 0, 0, 0, 154, 85, 575
"/home/main/Documents/hila/hilapp/src/codegen_avx_new.cpp", "C++", 0, 440, 0, 0, 0, 103, 104, 647
"/home/main/Documents/hila/hilapp/src/codegen_cpu.cpp", "C++", 0, 182, 0, 0, 0, 45, 36, 263
"/home/main/Documents/hila/hilapp/src/codegen_cuda.cpp", "C++", 0, 401, 0, 0, 0, 162, 115, 678
"/home/main/Documents/hila/hilapp/src/codegen_openacc.cpp", "C++", 0, 39, 0, 0, 0, 10, 9, 58
"/home/main/Documents/hila/hilapp/src/contains_loop_local_var_visitor.cpp", "C++", 0, 42, 0, 0, 0, 16, 18, 76
"/home/main/Documents/hila/hilapp/src/contains_random_visitor.cpp", "C++", 0, 54, 0, 0, 0, 21, 17, 92
"/home/main/Documents/hila/hilapp/src/depends_on_site_visitor.cpp", "C++", 0, 74, 0, 0, 0, 33, 31, 138
"/home/main/Documents/hila/hilapp/src/function_contains_loop_visitor.cpp", "C++", 0, 56, 0, 0, 0, 15, 14, 85
"/home/main/Documents/hila/hilapp/src/generalvisitor.cpp", "C++", 0, 403, 0, 0, 0, 117, 140, 660
"/home/main/Documents/hila/hilapp/src/generalvisitor.h", "CUDA C++", 169, 0, 0, 0, 0, 82, 71, 322
"/home/main/Documents/hila/hilapp/src/hilapp.cpp", "C++", 0, 754, 0, 0, 0, 326, 285, 1365
"/home/main/Documents/hila/hilapp/src/hilapp.h", "CUDA C++", 408, 0, 0, 0, 0, 72, 69, 549
"/home/main/Documents/hila/hilapp/src/loop_function.cpp", "C++", 0, 381, 0, 0, 0, 115, 143, 639
"/home/main/Documents/hila/hilapp/src/loop_function_visitor.cpp", "C++", 0, 424, 0, 0, 0, 158, 157, 739
