OP_bin_limit	OP_value	Weight
4.472410e-01	4.472500e-01	0.000000e+00
4.472590e-01	4.472680e-01	0.000000e+00
4.472769e-01	4.472859e-01	0.000000e+00
4.472949e-01	4.473039e-01	0.000000e+00
4.473129e-01	4.473218e-01	0.000000e+00
4.473308e-01	4.473398e-01	0.000000e+00
4.473488e-01	4.473578e-01	0.000000e+00
4.473667e-01	4.473757e-01	0.000000e+00
4.473847e-01	4.473937e-01	0.000000e+00
4.474027e-01	4.474116e-01	0.000000e+00
4.474206e-01	4.474296e-01	0.000000e+00
4.474386e-01	4.474476e-01	0.000000e+00
4.474565e-01	4.474655e-01	0.000000e+00
4.474745e-01	4.474835e-01	0.000000e+00
4.474924e-01	4.475014e-01	0.000000e+00
4.475104e-01	4.475194e-01	0.000000e+00
4.475284e-01	4.475373e-01	0.000000e+00
4.475463e-01	4.475553e-01	0.000000e+00
4.475643e-01	4.475733e-01	0.000000e+00
4.475822e-01	4.475912e-01	0.000000e+00
4.476002e-01	4.476092e-01	0.000000e+00
4.476182e-01	4.476271e-01	0.000000e+00
4.476361e-01	4.476451e-01	0.000000e+00
4.476541e-01	4.476631e-01	0.000000e+00
4.476720e-01	4.476810e-01	0.000000e+00
4.476900e-01	4.476990e-01	0.000000e+00
4.477080e-01	4.477169e-01	3.333333e-07
4.477259e-01	4.477349e-01	3.333333e-07
4.477439e-01	4.477529e-01	3.333333e-07
4.477618e-01	4.477708e-01	6.666667e-07
4.477798e-01	4.477888e-01	3.333333e-07
4.477978e-01	4.478067e-01	6.666667e-07
4.478157e-01	4.478247e-01	1.833333e-06
4.478337e-01	4.478427e-01	1.833333e-06
4.478516e-01	4.478606e-01	2.833333e-06
4.478696e-01	4.478786e-01	3.666667e-06
4.478876e-01	4.478965e-01	5.500000e-06
4.479055e-01	4.479145e-01	5.833333e-06
4.479235e-01	4.479324e-01	5.666667e-06
4.479414e-01	4.479504e-01	8.000000e-06
4.479594e-01	4.479684e-01	7.666667e-06
4.479773e-01	4.479863e-01	8.666667e-06
4.479953e-01	4.480043e-01	1.150000e-05
4.480133e-01	4.480222e-01	1.333333e-05
4.480312e-01	4.480402e-01	1.316667e-05
4.480492e-01	4.480582e-01	1.316667e-05
4.480671e-01	4.480761e-01	1.250000e-05
4.480851e-01	4.480941e-01	1.366667e-05
4.481031e-01	4.481120e-01	1.366667e-05
4.481210e-01	4.481300e-01	1.166667e-05
4.481390e-01
