OP_bin_limit	OP_value	Weight
8.837677e-01	8.840000e-01	1.556000e+04
8.842323e-01	8.844646e-01	1.555000e+04
8.846970e-01	8.849293e-01	1.531000e+04
8.851616e-01	8.853939e-01	1.521000e+04
8.856263e-01	8.858586e-01	1.535000e+04
8.860909e-01	8.863232e-01	1.542000e+04
8.865556e-01	8.867879e-01	1.568000e+04
8.870202e-01	8.872525e-01	1.527000e+04
8.874848e-01	8.877172e-01	1.584000e+04
8.879495e-01	8.881818e-01	1.552000e+04
8.884141e-01	8.886465e-01	1.526000e+04
8.888788e-01	8.891111e-01	1.539000e+04
8.893434e-01	8.895758e-01	1.547000e+04
8.898081e-01	8.900404e-01	1.567000e+04
8.902727e-01	8.905051e-01	1.541000e+04
8.907374e-01	8.909697e-01	1.553000e+04
8.912020e-01	8.914343e-01	1.570000e+04
8.916667e-01	8.918990e-01	1.556000e+04
8.921313e-01	8.923636e-01	1.485000e+04
8.925960e-01	8.928283e-01	1.493000e+04
8.930606e-01	8.932929e-01	1.616000e+04
8.935253e-01	8.937576e-01	0.000000e+00
8.939899e-01	8.942222e-01	0.000000e+00
8.944545e-01	8.946869e-01	0.000000e+00
8.949192e-01	8.951515e-01	0.000000e+00
8.953838e-01	8.956162e-01	0.000000e+00
8.958485e-01	8.960808e-01	0.000000e+00
8.963131e-01	8.965455e-01	0.000000e+00
8.967778e-01	8.970101e-01	0.000000e+00
8.972424e-01	8.974747e-01	0.000000e+00
8.977071e-01	8.979394e-01	0.000000e+00
8.981717e-01	8.984040e-01	0.000000e+00
8.986364e-01	8.988687e-01	0.000000e+00
8.991010e-01	8.993333e-01	0.000000e+00
8.995657e-01	8.997980e-01	0.000000e+00
9.000303e-01	9.002626e-01	0.000000e+00
9.004949e-01	9.007273e-01	0.000000e+00
9.009596e-01	9.011919e-01	0.000000e+00
9.014242e-01	9.016566e-01	0.000000e+00
9.018889e-01	9.021212e-01	0.000000e+00
9.023535e-01	9.025859e-01	0.000000e+00
9.028182e-01	9.030505e-01	0.000000e+00
9.032828e-01	9.035152e-01	0.000000e+00
9.037475e-01	9.039798e-01	0.000000e+00
9.042121e-01	9.044444e-01	0.000000e+00
9.046768e-01	9.049091e-01	0.000000e+00
9.051414e-01	9.053737e-01	0.000000e+00
9.056061e-01	9.058384e-01	0.000000e+00
9.060707e-01	9.063030e-01	0.000000e+00
9.065354e-01	9.067677e-01	0.000000e+00
9.070000e-01	9.072323e-01	0.000000e+00
9.074646e-01	9.076970e-01	0.000000e+00
9.079293e-01	9.081616e-01	0.000000e+00
9.083939e-01	9.086263e-01	0.000000e+00
9.088586e-01	9.090909e-01	0.000000e+00
9.093232e-01	9.095556e-01	0.000000e+00
9.097879e-01	9.100202e-01	0.000000e+00
9.102525e-01	9.104848e-01	0.000000e+00
9.107172e-01	9.109495e-01	0.000000e+00
9.111818e-01	9.114141e-01	0.000000e+00
9.116465e-01	9.118788e-01	0.000000e+00
9.121111e-01	9.123434e-01	0.000000e+00
9.125758e-01	9.128081e-01	0.000000e+00
9.130404e-01	9.132727e-01	0.000000e+00
9.135051e-01	9.137374e-01	0.000000e+00
9.139697e-01	9.142020e-01	0.000000e+00
9.144343e-01	9.146667e-01	0.000000e+00
9.148990e-01	9.151313e-01	0.000000e+00
9.153636e-01	9.155960e-01	0.000000e+00
9.158283e-01	9.160606e-01	0.000000e+00
9.162929e-01	9.165253e-01	0.000000e+00
9.167576e-01	9.169899e-01	0.000000e+00
9.172222e-01	9.174545e-01	0.000000e+00
9.176869e-01	9.179192e-01	0.000000e+00
9.181515e-01	9.183838e-01	0.000000e+00
9.186162e-01	9.188485e-01	0.000000e+00
9.190808e-01	9.193131e-01	0.000000e+00
9.195455e-01	9.197778e-01	0.000000e+00
9.200101e-01	9.202424e-01	0.000000e+00
9.204747e-01	9.207071e-01	0.000000e+00
9.209394e-01	9.211717e-01	0.000000e+00
9.214040e-01	9.216364e-01	0.000000e+00
9.218687e-01	9.221010e-01	0.000000e+00
9.223333e-01	9.225657e-01	0.000000e+00
9.227980e-01	9.230303e-01	0.000000e+00
9.232626e-01	9.234949e-01	0.000000e+00
9.237273e-01	9.239596e-01	0.000000e+00
9.241919e-01	9.244242e-01	0.000000e+00
9.246566e-01	9.248889e-01	0.000000e+00
9.251212e-01	9.253535e-01	0.000000e+00
9.255859e-01	9.258182e-01	0.000000e+00
9.260505e-01	9.262828e-01	0.000000e+00
9.265152e-01	9.267475e-01	0.000000e+00
9.269798e-01	9.272121e-01	0.000000e+00
9.274444e-01	9.276768e-01	0.000000e+00
9.279091e-01	9.281414e-01	0.000000e+00
9.283737e-01	9.286061e-01	0.000000e+00
9.288384e-01	9.290707e-01	0.000000e+00
9.293030e-01	9.295354e-01	0.000000e+00
9.297677e-01	9.300000e-01	0.000000e+00
9.302323e-01
