OP_bin_limit	OP_value	Weight
8.768586e-01	8.770000e-01	0.000000e+00
8.771414e-01	8.772828e-01	0.000000e+00
8.774242e-01	8.775657e-01	0.000000e+00
8.777071e-01	8.778485e-01	0.000000e+00
8.779899e-01	8.781313e-01	0.000000e+00
8.782727e-01	8.784142e-01	0.000000e+00
8.785556e-01	8.786970e-01	0.000000e+00
8.788384e-01	8.789798e-01	0.000000e+00
8.791212e-01	8.792626e-01	1.000000e-01
8.794040e-01	8.795455e-01	0.000000e+00
8.796869e-01	8.798283e-01	0.000000e+00
8.799697e-01	8.801111e-01	0.000000e+00
8.802525e-01	8.803940e-01	6.000000e+02
8.805354e-01	8.806768e-01	1.000000e+03
8.808182e-01	8.809596e-01	5.300000e+03
8.811010e-01	8.812424e-01	0.000000e+00
8.813838e-01	8.815252e-01	2.900000e+03
8.816667e-01	8.818081e-01	4.400000e+03
8.819495e-01	8.820909e-01	2.500000e+03
8.822323e-01	8.823738e-01	1.300000e+03
8.825152e-01	8.826566e-01	2.900100e+03
8.827980e-01	8.829394e-01	9.200200e+03
8.830808e-01	8.832222e-01	8.600300e+03
8.833636e-01	8.835050e-01	2.800100e+03
8.836465e-01	8.837879e-01	8.600500e+03
8.839293e-01	8.840707e-01	9.200300e+03
8.842121e-01	8.843535e-01	2.300800e+03
8.844949e-01	8.846363e-01	2.800600e+03
8.847778e-01	8.849192e-01	3.300800e+03
8.850606e-01	8.852020e-01	2.800600e+03
8.853434e-01	8.854848e-01	6.000400e+03
8.856263e-01	8.857677e-01	5.400700e+03
8.859091e-01	8.860505e-01	9.700400e+03
8.861919e-01	8.863333e-01	2.500500e+03
8.864747e-01	8.866162e-01	5.600600e+03
8.867576e-01	8.868990e-01	2.201300e+03
8.870404e-01	8.871818e-01	4.100600e+03
8.873232e-01	8.874646e-01	3.100200e+03
8.876061e-01	8.877475e-01	3.700400e+03
8.878889e-01	8.880303e-01	2.400100e+03
8.881717e-01	8.883131e-01	7.000200e+03
8.884545e-01	8.885959e-01	3.300100e+03
8.887374e-01	8.888788e-01	2.800100e+03
8.890202e-01	8.891616e-01	9.300000e+03
8.893030e-01	8.894445e-01	3.000000e+03
8.895859e-01	8.897273e-01	2.400000e+03
8.898687e-01	8.900101e-01	1.300000e+03
8.901515e-01	8.902929e-01	1.600000e+03
8.904343e-01	8.905758e-01	1.700000e+03
8.907172e-01	8.908586e-01	1.010000e+04
8.910000e-01	8.911414e-01	7.900000e+03
8.912828e-01	8.914242e-01	5.700000e+03
8.915657e-01	8.917071e-01	0.000000e+00
8.918485e-01	8.919899e-01	7.800000e+03
8.921313e-01	8.922727e-01	4.100000e+03
8.924141e-01	8.925555e-01	5.600000e+03
8.926970e-01	8.928384e-01	7.700000e+03
8.929798e-01	8.931212e-01	1.190000e+04
8.932626e-01	8.934041e-01	9.100000e+03
8.935455e-01	8.936869e-01	7.300000e+03
8.938283e-01	8.939697e-01	1.070000e+04
8.941111e-01	8.942525e-01	5.300000e+03
8.943939e-01	8.945354e-01	5.900000e+03
8.946768e-01	8.948182e-01	8.900000e+03
8.949596e-01	8.951010e-01	9.800000e+03
8.952424e-01	8.953838e-01	9.300000e+03
8.955253e-01	8.956667e-01	6.000000e+03
8.958081e-01	8.959495e-01	8.700000e+03
8.960909e-01	8.962323e-01	7.600000e+03
8.963737e-01	8.965151e-01	6.500000e+03
8.966566e-01	8.967980e-01	6.200000e+03
8.969394e-01	8.970808e-01	6.800000e+03
8.972222e-01	8.973637e-01	6.500000e+03
8.975051e-01	8.976465e-01	9.700000e+03
8.977879e-01	8.979293e-01	1.370000e+04
8.980707e-01	8.982121e-01	9.400000e+03
8.983535e-01	8.984950e-01	6.100000e+03
8.986364e-01	8.987778e-01	5.400000e+03
8.989192e-01	8.990606e-01	1.070000e+04
8.992020e-01	8.993434e-01	8.900000e+03
8.994848e-01	8.996263e-01	8.500000e+03
8.997677e-01	8.999091e-01	4.900000e+03
9.000505e-01	9.001919e-01	7.300000e+03
9.003333e-01	9.004748e-01	4.600000e+03
9.006162e-01	9.007576e-01	9.400000e+03
9.008990e-01	9.010404e-01	1.100000e+04
9.011818e-01	9.013232e-01	3.100000e+03
9.014646e-01	9.016061e-01	6.800000e+03
9.017475e-01	9.018889e-01	1.000000e+04
9.020303e-01	9.021717e-01	5.100000e+03
9.023131e-01	9.024546e-01	7.000000e+02
9.025960e-01	9.027374e-01	4.400000e+03
9.028788e-01	9.030202e-01	6.000000e+03
9.031616e-01	9.033030e-01	5.200000e+03
9.034444e-01	9.035859e-01	8.000000e+02
9.037273e-01	9.038687e-01	8.200000e+03
9.040101e-01	9.041515e-01	2.000000e+03
9.042929e-01	9.044344e-01	8.000000e+02
9.045758e-01	9.047172e-01	6.000000e+02
9.048586e-01	9.050000e-01	9.000000e+02
9.051414e-01
