OP_bin_limit	OP_value	Weight
8.798737e-01	8.800000e-01	1.004100e+04
8.801263e-01	8.802525e-01	1.058000e+04
8.803788e-01	8.805051e-01	1.044400e+04
8.806313e-01	8.807576e-01	1.043000e+04
8.808838e-01	8.810101e-01	1.047500e+04
8.811364e-01	8.812626e-01	1.050700e+04
8.813889e-01	8.815152e-01	1.051500e+04
8.816414e-01	8.817677e-01	1.066100e+04
8.818939e-01	8.820202e-01	1.055500e+04
8.821465e-01	8.822727e-01	1.060700e+04
8.823990e-01	8.825253e-01	1.057100e+04
8.826515e-01	8.827778e-01	1.059300e+04
8.829040e-01	8.830303e-01	1.060000e+04
8.831566e-01	8.832828e-01	1.056400e+04
8.834091e-01	8.835354e-01	1.056400e+04
8.836616e-01	8.837879e-01	1.057800e+04
8.839141e-01	8.840404e-01	1.059300e+04
8.841667e-01	8.842929e-01	1.060500e+04
8.844192e-01	8.845455e-01	1.058900e+04
8.846717e-01	8.847980e-01	1.057600e+04
8.849242e-01	8.850505e-01	1.062200e+04
8.851768e-01	8.853030e-01	1.057700e+04
8.854293e-01	8.855556e-01	1.058500e+04
8.856818e-01	8.858081e-01	1.061300e+04
8.859343e-01	8.860606e-01	1.060300e+04
8.861869e-01	8.863131e-01	1.056600e+04
8.864394e-01	8.865657e-01	1.057500e+04
8.866919e-01	8.868182e-01	1.056300e+04
8.869444e-01	8.870707e-01	1.056200e+04
8.871970e-01	8.873232e-01	1.063400e+04
8.874495e-01	8.875758e-01	1.056600e+04
8.877020e-01	8.878283e-01	1.059300e+04
8.879545e-01	8.880808e-01	1.058300e+04
8.882071e-01	8.883333e-01	1.057500e+04
8.884596e-01	8.885859e-01	1.056400e+04
8.887121e-01	8.888384e-01	1.059800e+04
8.889646e-01	8.890909e-01	1.057500e+04
8.892172e-01	8.893434e-01	1.060100e+04
8.894697e-01	8.895960e-01	1.056900e+04
8.897222e-01	8.898485e-01	1.060000e+04
8.899747e-01	8.901010e-01	1.054900e+04
8.902273e-01	8.903535e-01	1.064500e+04
8.904798e-01	8.906061e-01	1.054600e+04
8.907323e-01	8.908586e-01	1.056000e+04
8.909848e-01	8.911111e-01	1.057400e+04
8.912374e-01	8.913636e-01	1.031400e+04
8.914899e-01	8.916162e-01	1.060900e+04
8.917424e-01	8.918687e-01	9.923000e+03
8.919949e-01	8.921212e-01	9.826000e+03
8.922475e-01	8.923737e-01	8.634000e+03
8.925000e-01	8.926263e-01	4.802000e+03
8.927525e-01	8.928788e-01	0.000000e+00
8.930051e-01	8.931313e-01	0.000000e+00
8.932576e-01	8.933838e-01	0.000000e+00
8.935101e-01	8.936364e-01	0.000000e+00
8.937626e-01	8.938889e-01	0.000000e+00
8.940152e-01	8.941414e-01	0.000000e+00
8.942677e-01	8.943939e-01	0.000000e+00
8.945202e-01	8.946465e-01	0.000000e+00
8.947727e-01	8.948990e-01	0.000000e+00
8.950253e-01	8.951515e-01	0.000000e+00
8.952778e-01	8.954040e-01	0.000000e+00
8.955303e-01	8.956566e-01	0.000000e+00
8.957828e-01	8.959091e-01	0.000000e+00
8.960354e-01	8.961616e-01	0.000000e+00
8.962879e-01	8.964141e-01	0.000000e+00
8.965404e-01	8.966667e-01	0.000000e+00
8.967929e-01	8.969192e-01	0.000000e+00
8.970455e-01	8.971717e-01	0.000000e+00
8.972980e-01	8.974242e-01	0.000000e+00
8.975505e-01	8.976768e-01	0.000000e+00
8.978030e-01	8.979293e-01	0.000000e+00
8.980556e-01	8.981818e-01	0.000000e+00
8.983081e-01	8.984343e-01	0.000000e+00
8.985606e-01	8.986869e-01	0.000000e+00
8.988131e-01	8.989394e-01	0.000000e+00
8.990657e-01	8.991919e-01	0.000000e+00
8.993182e-01	8.994444e-01	0.000000e+00
8.995707e-01	8.996970e-01	0.000000e+00
8.998232e-01	8.999495e-01	0.000000e+00
9.000758e-01	9.002020e-01	0.000000e+00
9.003283e-01	9.004545e-01	0.000000e+00
9.005808e-01	9.007071e-01	0.000000e+00
9.008333e-01	9.009596e-01	0.000000e+00
9.010859e-01	9.012121e-01	0.000000e+00
9.013384e-01	9.014646e-01	0.000000e+00
9.015909e-01	9.017172e-01	0.000000e+00
9.018434e-01	9.019697e-01	0.000000e+00
9.020960e-01	9.022222e-01	0.000000e+00
9.023485e-01	9.024747e-01	0.000000e+00
9.026010e-01	9.027273e-01	0.000000e+00
9.028535e-01	9.029798e-01	0.000000e+00
9.031061e-01	9.032323e-01	0.000000e+00
9.033586e-01	9.034848e-01	0.000000e+00
9.036111e-01	9.037374e-01	0.000000e+00
9.038636e-01	9.039899e-01	0.000000e+00
9.041162e-01	9.042424e-01	0.000000e+00
9.043687e-01	9.044949e-01	0.000000e+00
9.046212e-01	9.047475e-01	0.000000e+00
9.048737e-01	9.050000e-01	0.000000e+00
9.051263e-01
