OP_bin_limit	OP_value	Weight
8.798737e-01	8.800000e-01	1.375800e+04
8.801263e-01	8.802525e-01	1.364600e+04
8.803788e-01	8.805051e-01	1.356200e+04
8.806313e-01	8.807576e-01	1.365000e+04
8.808838e-01	8.810101e-01	1.359500e+04
8.811364e-01	8.812626e-01	1.351000e+04
8.813889e-01	8.815152e-01	1.362900e+04
8.816414e-01	8.817677e-01	1.362100e+04
8.818939e-01	8.820202e-01	1.361200e+04
8.821465e-01	8.822727e-01	1.364900e+04
8.823990e-01	8.825253e-01	1.364000e+04
8.826515e-01	8.827778e-01	1.361300e+04
8.829040e-01	8.830303e-01	1.361300e+04
8.831566e-01	8.832828e-01	1.361900e+04
8.834091e-01	8.835354e-01	1.361700e+04
8.836616e-01	8.837879e-01	1.361700e+04
8.839141e-01	8.840404e-01	1.362700e+04
8.841667e-01	8.842929e-01	1.363800e+04
8.844192e-01	8.845455e-01	1.361800e+04
8.846717e-01	8.847980e-01	1.361500e+04
8.849242e-01	8.850505e-01	1.362000e+04
8.851768e-01	8.853030e-01	1.361800e+04
8.854293e-01	8.855556e-01	1.361500e+04
8.856818e-01	8.858081e-01	1.362100e+04
8.859343e-01	8.860606e-01	1.361600e+04
8.861869e-01	8.863131e-01	1.362800e+04
8.864394e-01	8.865657e-01	1.361800e+04
8.866919e-01	8.868182e-01	1.361600e+04
8.869444e-01	8.870707e-01	1.361800e+04
8.871970e-01	8.873232e-01	1.361800e+04
8.874495e-01	8.875758e-01	1.361500e+04
8.877020e-01	8.878283e-01	1.364100e+04
8.879545e-01	8.880808e-01	1.362200e+04
8.882071e-01	8.883333e-01	1.363500e+04
8.884596e-01	8.885859e-01	1.361800e+04
8.887121e-01	8.888384e-01	1.362100e+04
8.889646e-01	8.890909e-01	1.361600e+04
8.892172e-01	8.893434e-01	1.363200e+04
8.894697e-01	8.895960e-01	1.363400e+04
8.897222e-01	8.898485e-01	1.361800e+04
8.899747e-01	8.901010e-01	1.361600e+04
8.902273e-01	8.903535e-01	1.363200e+04
8.904798e-01	8.906061e-01	1.363000e+04
8.907323e-01	8.908586e-01	1.367300e+04
8.909848e-01	8.911111e-01	1.359100e+04
8.912374e-01	8.913636e-01	1.356600e+04
8.914899e-01	8.916162e-01	1.343800e+04
8.917424e-01	8.918687e-01	1.282000e+04
8.919949e-01	8.921212e-01	1.241200e+04
8.922475e-01	8.923737e-01	1.351000e+04
8.925000e-01	8.926263e-01	1.192900e+04
8.927525e-01	8.928788e-01	1.109600e+04
8.930051e-01	8.931313e-01	1.694800e+04
8.932576e-01	8.933838e-01	3.540000e+02
8.935101e-01	8.936364e-01	3.660000e+02
8.937626e-01	8.938889e-01	2.220000e+02
8.940152e-01	8.941414e-01	2.300000e+02
8.942677e-01	8.943939e-01	1.580000e+02
8.945202e-01	8.946465e-01	2.840000e+02
8.947727e-01	8.948990e-01	1.580000e+02
8.950253e-01	8.951515e-01	1.240000e+02
8.952778e-01	8.954040e-01	1.870000e+02
8.955303e-01	8.956566e-01	1.620000e+02
8.957828e-01	8.959091e-01	1.910000e+02
8.960354e-01	8.961616e-01	1.310000e+02
8.962879e-01	8.964141e-01	1.090000e+02
8.965404e-01	8.966667e-01	1.070000e+02
8.967929e-01	8.969192e-01	1.050000e+02
8.970455e-01	8.971717e-01	1.070000e+02
8.972980e-01	8.974242e-01	1.060000e+02
8.975505e-01	8.976768e-01	1.090000e+02
8.978030e-01	8.979293e-01	1.100000e+02
8.980556e-01	8.981818e-01	9.900000e+01
8.983081e-01	8.984343e-01	1.120000e+02
8.985606e-01	8.986869e-01	1.600000e+02
8.988131e-01	8.989394e-01	8.900000e+01
8.990657e-01	8.991919e-01	1.490000e+02
8.993182e-01	8.994444e-01	1.050000e+02
8.995707e-01	8.996970e-01	1.010000e+02
8.998232e-01	8.999495e-01	9.700000e+01
9.000758e-01	9.002020e-01	8.700000e+01
9.003283e-01	9.004545e-01	1.110000e+02
9.005808e-01	9.007071e-01	1.330000e+02
9.008333e-01	9.009596e-01	1.350000e+02
9.010859e-01	9.012121e-01	1.040000e+02
9.013384e-01	9.014646e-01	5.800000e+01
9.015909e-01	9.017172e-01	1.460000e+02
9.018434e-01	9.019697e-01	3.000000e+00
9.020960e-01	9.022222e-01	1.900000e+01
9.023485e-01	9.024747e-01	3.000000e+00
9.026010e-01	9.027273e-01	9.800000e+01
9.028535e-01	9.029798e-01	1.000000e+00
9.031061e-01	9.032323e-01	4.000000e+00
9.033586e-01	9.034848e-01	5.000000e+00
9.036111e-01	9.037374e-01	6.000000e+00
9.038636e-01	9.039899e-01	0.000000e+00
9.041162e-01	9.042424e-01	6.300000e+01
9.043687e-01	9.044949e-01	0.000000e+00
9.046212e-01	9.047475e-01	2.000000e+00
9.048737e-01	9.050000e-01	2.000000e+00
9.051263e-01
