OP_bin_limit	OP_value	Weight
8.818990e-01	8.820000e-01	0.000000e+00
8.821010e-01	8.822020e-01	7.000000e-02
8.823030e-01	8.824040e-01	2.166667e-01
8.825051e-01	8.826061e-01	2.300000e-01
8.827071e-01	8.828081e-01	2.000000e-01
8.829091e-01	8.830101e-01	1.500000e-01
8.831111e-01	8.832121e-01	2.500000e-01
8.833131e-01	8.834141e-01	1.366667e-01
8.835152e-01	8.836162e-01	4.000000e-01
8.837172e-01	8.838182e-01	4.100000e-01
8.839192e-01	8.840202e-01	3.866667e-01
8.841212e-01	8.842222e-01	4.900000e-01
8.843232e-01	8.844242e-01	3.033333e-01
8.845253e-01	8.846263e-01	4.966667e-01
8.847273e-01	8.848283e-01	4.033333e-01
8.849293e-01	8.850303e-01	5.666667e-01
8.851313e-01	8.852323e-01	4.633333e-01
8.853333e-01	8.854343e-01	4.233333e-01
8.855354e-01	8.856364e-01	5.400000e-01
8.857374e-01	8.858384e-01	6.466667e-01
8.859394e-01	8.860404e-01	5.900000e-01
8.861414e-01	8.862424e-01	6.466667e-01
8.863434e-01	8.864444e-01	6.433333e-01
8.865455e-01	8.866465e-01	5.633333e-01
8.867475e-01	8.868485e-01	6.366667e-01
8.869495e-01	8.870505e-01	5.333333e-01
8.871515e-01	8.872525e-01	5.600000e-01
8.873535e-01	8.874545e-01	4.900000e-01
8.875556e-01	8.876566e-01	4.933333e-01
8.877576e-01	8.878586e-01	5.633333e-01
8.879596e-01	8.880606e-01	4.266667e-01
8.881616e-01	8.882626e-01	5.633333e-01
8.883636e-01	8.884646e-01	6.533333e-01
8.885657e-01	8.886667e-01	3.900000e-01
8.887677e-01	8.888687e-01	4.733333e-01
8.889697e-01	8.890707e-01	6.600000e-01
8.891717e-01	8.892727e-01	4.700000e-01
8.893737e-01	8.894747e-01	4.866667e-01
8.895758e-01	8.896768e-01	4.200000e-01
8.897778e-01	8.898788e-01	4.566667e-01
8.899798e-01	8.900808e-01	5.166667e-01
8.901818e-01	8.902828e-01	4.633333e-01
8.903838e-01	8.904848e-01	3.633333e-01
8.905859e-01	8.906869e-01	5.166667e-01
8.907879e-01	8.908889e-01	2.966667e-01
8.909899e-01	8.910909e-01	4.066667e-01
8.911919e-01	8.912929e-01	2.600000e-01
8.913939e-01	8.914949e-01	4.800000e-01
8.915960e-01	8.916970e-01	3.333333e-01
8.917980e-01	8.918990e-01	4.800000e-01
8.920000e-01	8.921010e-01	3.933333e-01
8.922020e-01	8.923030e-01	5.500000e-01
8.924040e-01	8.925051e-01	4.966667e-01
8.926061e-01	8.927071e-01	5.866667e-01
8.928081e-01	8.929091e-01	5.400000e-01
8.930101e-01	8.931111e-01	3.800000e-01
8.932121e-01	8.933131e-01	4.366667e-01
8.934141e-01	8.935152e-01	4.466667e-01
8.936162e-01	8.937172e-01	5.433333e-01
8.938182e-01	8.939192e-01	4.700000e-01
8.940202e-01	8.941212e-01	5.900000e-01
8.942222e-01	8.943232e-01	5.966667e-01
8.944242e-01	8.945253e-01	5.766667e-01
8.946263e-01	8.947273e-01	7.133333e-01
8.948283e-01	8.949293e-01	6.266667e-01
8.950303e-01	8.951313e-01	7.100000e-01
8.952323e-01	8.953333e-01	6.866667e-01
8.954343e-01	8.955354e-01	6.733333e-01
8.956364e-01	8.957374e-01	7.200000e-01
8.958384e-01	8.959394e-01	6.600000e-01
8.960404e-01	8.961414e-01	7.300000e-01
8.962424e-01	8.963434e-01	7.066667e-01
8.964444e-01	8.965455e-01	6.833333e-01
8.966465e-01	8.967475e-01	7.700000e-01
8.968485e-01	8.969495e-01	7.733333e-01
8.970505e-01	8.971515e-01	5.633333e-01
8.972525e-01	8.973535e-01	7.933333e-01
8.974545e-01	8.975556e-01	8.033333e-01
8.976566e-01	8.977576e-01	7.366667e-01
8.978586e-01	8.979596e-01	9.000000e-01
8.980606e-01	8.981616e-01	7.066667e-01
8.982626e-01	8.983636e-01	7.566667e-01
8.984646e-01	8.985657e-01	5.866667e-01
8.986667e-01	8.987677e-01	6.700000e-01
8.988687e-01	8.989697e-01	7.400000e-01
8.990707e-01	8.991717e-01	7.433333e-01
8.992727e-01	8.993737e-01	7.600000e-01
8.994747e-01	8.995758e-01	5.700000e-01
8.996768e-01	8.997778e-01	6.600000e-01
8.998788e-01	8.999798e-01	5.766667e-01
9.000808e-01	9.001818e-01	5.300000e-01
9.002828e-01	9.003838e-01	5.300000e-01
9.004848e-01	9.005859e-01	5.266667e-01
9.006869e-01	9.007879e-01	4.833333e-01
9.008889e-01	9.009899e-01	4.600000e-01
9.010909e-01	9.011919e-01	3.700000e-01
9.012929e-01	9.013939e-01	4.233333e-01
9.014949e-01	9.015960e-01	3.833333e-01
9.016970e-01	9.017980e-01	4.533333e-01
9.018990e-01	9.020000e-01	2.766667e-01
9.021010e-01
